Question category,Question,Values,"Comments (pop-up questions, open questions etc.)",Reference
,Kuivatut hedelmät 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Pähkinät ja siemenet 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Perunalastut ja popcorn 3 dl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Muu makeinen tai naposteltava ,text; 0 = did not reply to this question,Open question,
,Muun makeisen tai naposteltavan annoskoko ,text; 0 = did not reply to this question,Pop up question (open question) for those who answer the previous question,
,Muun makeisen tai naposteltavan käyttötiheys ,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä; 0 = did not reply to this question,Pop up question for those who answer the question before previous,
,Suodatin- tai pikakahvi 1 kupillinen,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Pannukahvi 1 kupillinen,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Espresso, pressokahvi 1 kupillinen",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Maitopohjainen kahvijuoma (esim. Latte, Frezza) 1 kupillinen/1 annos",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Tee (esim. musta, vihreä) 1 kupillinen",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Yrttitee esim minttu 1 kupillinen,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Kermaa kahvissa tai teessä 1-2 rkl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Maitoa kahvissa tai teessä 1-2 rkl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Sokeria tai hunajaa kahvissa tai teessä 2 palaa/1 tl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Kaakao 1 kupillinen,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Marjamehu lasillinen,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Virvoitusjuomat, sokeriset 3 dl",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Virvoitusjuomat, sokerittomat (light) 3 dl",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Energiajuomat pullo/tölkki,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Vesijohtovesi lasillinen,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Pullotettu vesi tai kivennäisvesi 3 dl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Kotikalja tai I-olut lasillinen,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Olut pullo/tölkki,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Siideri pullo/tölkki,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Juomasekoitukset (esim. Long drink) pullo/tölkki,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Punaviini 12 cl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Valkoviini 12 cl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Vahva viini tai likööri 4 cl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Väkevät alkoholijuomat 4 cl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Muu juoma ,text; 0 = did not reply to this question,Open question,
,Muun juoman annoskoko ,text; 0 = did not reply to this question,Pop up question (open question) for those who answer the previous question,
,Muun juoman käyttötiheys ,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä; 0 = did not reply to this question,Pop up question for those who answer the question before previous,
Supplements,"Oletko käyttänyt vitamiini-, kivennäisaine- tai muita ravintovalmisteita viimeisen 12 kuukauden aikana? Valitse lähinnä käyttöäsi kuvaava vaihtoehto ",,,THL's FinHealth study (FinTerveys) 2017
,Monivitamiini- ja kivennäisainevalmiste,1 = En käytä ; 2 = Satunnaisesti tai kausittain ; 3 = Päivittäin tai lähes päivittäin,,
,B-vitamiinivalmiste (esim. folaatti),1 = En käytä ; 2 = Satunnaisesti tai kausittain ; 3 = Päivittäin tai lähes päivittäin,,
,C-vitamiinivalmiste,1 = En käytä ; 2 = Satunnaisesti tai kausittain ; 3 = Päivittäin tai lähes päivittäin,,
,D-vitamiinivalmiste,1 = En käytä ; 2 = Satunnaisesti tai kausittain ; 3 = Päivittäin tai lähes päivittäin,,
,Kalsiumvalmiste,1 = En käytä ; 2 = Satunnaisesti tai kausittain ; 3 = Päivittäin tai lähes päivittäin,,
,Magnesiumvalmiste,1 = En käytä ; 2 = Satunnaisesti tai kausittain ; 3 = Päivittäin tai lähes päivittäin,,
,Rasvahappovalmiste,1 = En käytä ; 2 = Satunnaisesti tai kausittain ; 3 = Päivittäin tai lähes päivittäin,,
,Muu valmiste,1 = En käytä ; 2 = Satunnaisesti tai kausittain ; 3 = Päivittäin tai lähes päivittäin,,
,Onko koronaepidemia tai sen rajoittamistoimet vaikuttaneet ruokailutottumuksiisi? ,,,"Selected corona questions from THL's ""Serological population study of the coronavirus epidemic""/""Koronaepidemian serologinen väestötutkimus"" https://thl.fi/fi/tutkimus-ja-kehittaminen/tutkimukset-ja-hankkeet/koronaepidemian-serologinen-vaestotutkimus "
,Päivän aikana syötyjen aterioiden ja välipalojen lukumäärä,"1 = ei vaikutusta ; 2 = kyllä, vähentynyt ; 3 = kyllä, lisääntynyt; -88 = filled in the questionnaire before 26.1.2021 when this question was not included",,
,Hedelmien ja marjojen kulutus  ,"1 = ei vaikutusta ; 2 = kyllä, vähentynyt ; 3 = kyllä, lisääntynyt; -88 = filled in the questionnaire before 26.1.2021 when this question was not included",,
,"Napostelu (makeisten, suklaan, virvoitusjuomien, sipsien yms. kulutus)","1 = ei vaikutusta ; 2 = kyllä, vähentynyt ; 3 = kyllä, lisääntynyt; -88 = filled in the questionnaire before 26.1.2021 when this question was not included",,
,"Kasvisten kulutus (myös kypsänä, ei peruna)           ","1 = ei vaikutusta ; 2 = kyllä, vähentynyt ; 3 = kyllä, lisääntynyt; -88 = filled in the questionnaire before 26.1.2021 when this question was not included",,
,Voit halutessasi antaa palautetta kysymyksistä,text; -88 = filled in the questionnaire before 26.1.2021 when this question was not included; 0 = filled in the questionnaire after 26.1.2021 but did not give any feedback,Open question,
Physical activity,"Kuinka usein yleensä liikut tai urheilet vapaa-ajallasi? Laske mukaan ohjattu liikkuminen ja liikkuminen itseksesi, perheen tai kavereiden kanssa. ",1= En koskaan ; 2 = Harvemmin kuin kerran kuukaudessa ; 3 = 1–3 kertaa kuukaudessa ; 4 = 1 kerran viikossa ; 5 = 2 kertaa viikossa ; 6 = 3 kertaa viikossa ; 7 = 4 kertaa viikossa ; 8 = 5 kertaa viikossa ; 9 = 6 kertaa viikossa ; 10 = 7 kertaa viikossa tai useammin,,"Same question as in the 1. follow-up. Almost the same question as at baseline, from “Koulut liikkeelle”, a Finnish school study, with small modifications in the definition and answer alternatives. "
,"Kuinka monta tuntia viikossa yleensä liikut tai urheilet vapaa-ajallasi? Laske mukaan ohjattu liikkuminen ja liikkuminen itseksesi, perheen tai kavereiden kanssa. Vastaa puolen tunnin tarkkuudella, esim. 1 tai 1,5","value; 0 = replied 1 or 2 on question ""How often do you normally exercise or do sports during your free time? Include all the exercise you do in a club or team and any exercise by yourself, with family or friends. """,Pop up question (open question) for those who answer 3-10 in previous (= the first physical activity) question,"Same question as in the 1. follow-up, but instead of answer alternatives, it is an open question. Almost the same question as at baseline, from “Koulut liikkeelle”, a Finnish school study, with small modifications in the definition and answer alternatives. "
,Mikä on yksittäisen urheilu- tai liikuntakertasi keskimääräinen kesto ,"1 = Vähemmän kuin 20 minuuttia ; 2 = 20–40 minuuttia ; 3 = 40–60 minuuttia ; 4 = Enemmän kuin 60 minuuttia; 0 = replied 1 or 2 on question ""How often do you normally exercise or do sports during your free time? Include all the exercise you do in a club or team and any exercise by yourself, with family or friends.""",Pop up question for those who answer 3-10 in the first physical activity question,"Same question as in the 1. follow-up. From the STRIP study, see references: Katja Pahkala. PHYSICAL ACTIVITY IN ADOLESCENCE- with special reference to cardiovascular health, Dissertation, UNIVERSITY OF TURKU, Turku 2009. Raitakari OT et al. Patterns of intense physical activity among 15- to 30 year old Finns. The cardiovascular risk in young Finns study. Scandinavian journal of medicine & science in sports, 1996; 6 (1) 36-39  (pdf not found in PubMed)"
,Kuinka tehokkaasti yleensä liikut tai urheilet vapaa-ajallasi ,"1 = En hengästy ; 2 = Hengästyn vähän (pystyn puhumaan puuskuttamatta) ;3 = Hengästyn paljon (en pysty puhumaan puuskuttamatta); 0 = replied 1 or 2 on question ""How often do you normally exercise or do sports during your free time? Include all the exercise you do in a club or team and any exercise by yourself, with family or friends.""",Pop up question for those who answer 3-10 in the first physical activity question,"Same question as at baseline and 1. follow-up. Own question, same structure as in the other intensity questions used at baseline, which were developed by Dr Minna Aittasalo, researcher at the UKK Institute"
,Onko vapaa-ajan liikunnan määräsi koronaepidemian takia,1 = lisääntynyt ; 2 = vähentynyt ; 3 = pysynyt ennallaan; -88 = filled in the questionnaire before 26.1.2021 when this question was not included,"Different wording in batches 3-4, spring 2021: Onko vapaa-ajan liikunnan määräsi korona-aikana ",Own corona question
,Onko työhön tai opiskeluun liittyvä liikunnan määräsi koronaepidemian takia,1 = lisääntynyt ; 2 = vähentynyt ; 3 = pysynyt ennallaan; -88 = filled in the questionnaire before 26.1.2021 when this question was not included,"Different wording in batches 3-4, spring 2021: Onko työhön tai opiskeluun liittyvä liikunnan määräsi korona-aikana",Own corona question
Screen time,"Milloin yleensä lopetat tietokoneen, tabletin, puhelimen, pelikonsolin tai muun elektronisen laitteen käytön, jos sinun on mentävä kouluun tai töihin seuraavana aamuna ",1 = Viimeistään klo 21.00 ; 2 = 21.30 ; 3 = 22.00 ; 4 = 22.30 ; 5 = 23.00 ; 6 = 23.30 ; 7 = 24.00 ; 8 = 0.30 ; 9 = 1.00 ; 10 = 1.30 ; 11 = 2.00 tai myöhemmin,,Same question as in the 1. follow-up. WHO HBSC (Health Behaviour in School-aged Children) study 2014 with small modifications in wording
,"Milloin yleensä lopetat tietokoneen, tabletin, puhelimen, pelikonsolin tai muun elektronisen laitteen käytön viikonloppuisin tai vapaapäivinä, kun sinun ei tarvitse mennä kouluun tai töihin seuraavana aamuna ",1 = Viimeistään klo 21.00 ; 2 = 21.30 ; 3 = 22.00 ; 4 = 22.30 ; 5 = 23.00 ; 6 = 23.30 ; 7 = 24.00 ; 8 = 0.30 ; 9 = 1.00 ; 10 = 1.30 ; 11 = 2.00 ; 12 = 2.30 ; 13 = 3.00 ; 14 = 3.30 ; 15 = 4.00 tai myöhemmin,,Same question as in the 1. follow-up. WHO HBSC (Health Behaviour in School-aged Children) study 2014 with small modifications in wording 
,"Kuinka monta tuntia päivässä yleensä katsot vapaa-ajallasi televisio-ohjelmia, videoita (mukaan lukien esim  YouTube, Netflix), DVD:tä tai muita vastaavia televisiosta tai näytöltä?",,,Same question as in the 1. follow-up but as open question. WHO HBSC (Health Behaviour in School-aged Children) study 2014 with small modifications in wording
,"Koulu-/ työpäivät. Vastaa puolen tunnin tarkkuudella, esim. 1 tai 1,5",,Open question ,
,"Viikonloppu tai vapaapäivät. Vastaa puolen tunnin tarkkuudella, esim. 1 tai 1,5",,Open question,
,"Kuinka monta tuntia päivässä yleensä pelaat vapaa-ajallasi tietokone- tai konsolipelejä (PlayStation, Xbox, Nintendo/GameCube jne.)? Älä laske mukaan ns  liikuntapelejä (esim. Wii, Move) ","The ""old fashioned"" GameCube was used as an example in batches 1-5, Nintendo in following batches",,Same question as in the 1. follow-up but as open question. WHO HBSC (Health Behaviour in School-aged Children) study 2014 with small modifications in wording
,"Koulu-/ työpäivät. Vastaa puolen tunnin tarkkuudella, esim. 1 tai 1,5",,Open question,
,"Viikonloppu tai vapaapäivät. Vastaa puolen tunnin tarkkuudella, esim. 1 tai 1,5",,Open question,
,Kuinka monta tuntia päivässä yleensä pelaat vapaa-ajallasi pelejä puhelimella tai tabletilla (esim. iPad)?,,,Same question as in the 1. follow-up but as open question. Was not included in WHO HBSC 2014 study
,"Koulu-/ työpäivät. Vastaa puolen tunnin tarkkuudella, esim. 1 tai 1,5",,Open question,
,"Viikonloppu tai vapaapäivät. Vastaa puolen tunnin tarkkuudella, esim. 1 tai 1,5",,Open question,
,"Kuinka monta tuntia päivässä yleensä käytät vapaa-ajallasi tietokonetta, tablettia (esim. iPad) tai puhelinta muuhun kuin pelaamiseen, esim. opiskelutehtävät, sähköpostit, Twitter, Instagram, Facebook, chatti, netissä surffailu?",,,Same question as in the 1. follow-up but as open question. WHO HBSC (Health Behaviour in School-aged Children) study 2014 with small modifications in wording
,"Koulu-/ työpäivät. Vastaa puolen tunnin tarkkuudella, esim. 1 tai 1,5",,Open question,
,"Viikonloppu tai vapaapäivät. Vastaa puolen tunnin tarkkuudella, esim. 1 tai 1,5",,Open question,
,"Kuinka monta tuntia päivässä yleensä käytät älypuhelinta erilaisiin tarkoituksiin? Vastaa puolen tunnin tarkkuudella, esim. 1 tai 1,5",,Open question,"Our own question, a new question"
,Vastasitko edelliseen kysymykseen,1 = oman arvion perusteella ; 2 = tarkistamalla ruutuajan puhelimesta,,
Smart phone addiction,"Valitse vastausvaihtoehto, joka kuvaa parhaiten itseäsi ",,,"Smartphone Addiction Scale Short Version (SAS-SV). Kwon M, Kim D-J, Cho H, Yang S. The Smartphone Addiction Scale: Development and Validation of a Short Version for Adolescents. PLoS One. 2013 Dec 31;8(12):e83558. doi: 10.1371/journal.pone.0083558. eCollection 2013."
,Suunniteltu työ on jäänyt tekemättä älypuhelimen käytön takia ,"1 = ”täysin eri mieltä”, 2 = ”eri mieltä”, 3 = ”hiukan eri mieltä”, 4 = ”hiukan samaa mieltä”, 5 = ”samaa mieltä”, 6 = ”täysin samaa mieltä”",,
,"Älypuhelimen käytön takia on vaikeaa keskittyä luokassa, tehdä tehtäviä tai työskennellä ","1 = ”täysin eri mieltä”, 2 = ”eri mieltä”, 3 = ”hiukan eri mieltä”, 4 = ”hiukan samaa mieltä”, 5 = ”samaa mieltä”, 6 = ”täysin samaa mieltä”",,
,Tunnen kipua ranteissa tai niskassa kun käytän älypuhelinta ,"1 = ”täysin eri mieltä”, 2 = ”eri mieltä”, 3 = ”hiukan eri mieltä”, 4 = ”hiukan samaa mieltä”, 5 = ”samaa mieltä”, 6 = ”täysin samaa mieltä”",,
,En kestä olla ilman älypuhelinta ,"1 = ”täysin eri mieltä”, 2 = ”eri mieltä”, 3 = ”hiukan eri mieltä”, 4 = ”hiukan samaa mieltä”, 5 = ”samaa mieltä”, 6 = ”täysin samaa mieltä”",,
,Tunnen oloni kärsimättömäksi ja kärttyisäksi ilman älypuhelintani ,"1 = ”täysin eri mieltä”, 2 = ”eri mieltä”, 3 = ”hiukan eri mieltä”, 4 = ”hiukan samaa mieltä”, 5 = ”samaa mieltä”, 6 = ”täysin samaa mieltä”",,
,Ajattelen älypuhelintani silloinkin kun en käytä sitä ,"1 = ”täysin eri mieltä”, 2 = ”eri mieltä”, 3 = ”hiukan eri mieltä”, 4 = ”hiukan samaa mieltä”, 5 = ”samaa mieltä”, 6 = ”täysin samaa mieltä”",,
,En koskaan luovu älypuhelimen käytöstä vaikka se vaikuttaa jo kovasti arkeeni ,"1 = ”täysin eri mieltä”, 2 = ”eri mieltä”, 3 = ”hiukan eri mieltä”, 4 = ”hiukan samaa mieltä”, 5 = ”samaa mieltä”, 6 = ”täysin samaa mieltä”",,
,Tarkkailen jatkuvasti älypuhelinta jotta en menettäisi muiden käyttäjien keskusteluja esim Twitterissä tai Facebookissa ,"1 = ”täysin eri mieltä”, 2 = ”eri mieltä”, 3 = ”hiukan eri mieltä”, 4 = ”hiukan samaa mieltä”, 5 = ”samaa mieltä”, 6 = ”täysin samaa mieltä”",,
,Käytän älypuhelinta kauemmin kuin olin aikonut ,"1 = ”täysin eri mieltä”, 2 = ”eri mieltä”, 3 = ”hiukan eri mieltä”, 4 = ”hiukan samaa mieltä”, 5 = ”samaa mieltä”, 6 = ”täysin samaa mieltä”",,
,Ihmiset ympärilläni kertovat minulle että käytän liikaa älypuhelinta ,"1 = ”täysin eri mieltä”, 2 = ”eri mieltä”, 3 = ”hiukan eri mieltä”, 4 = ”hiukan samaa mieltä”, 5 = ”samaa mieltä”, 6 = ”täysin samaa mieltä”",,
,Onko ruutuaikasi koronaepidemian takia ,1 = lisääntynyt ; 2 = vähentynyt ; 3 = pysynyt ennallaan; -88 = filled in the questionnaire before 26.1.2021 when this question was not included,"Different wording in batches 3-4, spring 2021: Onko ruutuaikasi korona-aikana",Own corona question
Pets,Onko kotitaloudessasi koiria tai kissoja? ,1 =  koira/koiria ; 2 =  kissa/kissoja ; 3 =  molempia ; 4 =  ei kumpaakaan ,,"Pet questions developed by researchers in Hannes Lohi's group at Folkhälsan Research Center: MSc Milla Salonen, PhD Jenni Puurunen, MSc Emma Hakanen and MSc Salla Mikkola. Only the question about exercising with the dog has been used in their dog behaviour questionnaire, the old version of which has been published in this article: https://www.nature.com/articles/s41598-020-59837-z "
,"Vastaa, miten hyvin seuraavat kaksi väittämää kuvaavat sinua ja lemmikkiäsi/lemmikkejäsi. Jos sinulla on useampia lemmikkejä, vastaa ensimmäiseen väittämään kaikkien niiden osalta ja toiseen väittämään itsellesi läheisimmän lemmikin osalta.",,,
,Vietän suurimman osan vapaa ajastani lemmikkini kanssa,"1 =  täysin samaa mieltä ; 2 =  jokseenkin samaa mieltä ; 3 =  ei samaa eikä eri mieltä ; 4 =  jokseenkin eri mieltä ; 5 =  täysin eri mieltä; 0 = replied 4 on question ""Does your household have dogs or cats?""",Pop up question for those who answer 1-3 in previous question (=the first pet question),
,Kun minulla on vaikeaa saan lemmikistäni tukea,"1 =  täysin samaa mieltä ; 2 =  jokseenkin samaa mieltä ; 3 =  ei samaa eikä eri mieltä ; 4 =  jokseenkin eri mieltä ; 5 =  täysin eri mieltä; 0 = replied 4 on question ""Does your household have dogs or cats?""",Pop up question for those who answer 1-3 in the first pet question,
,Miten paljon keskimäärin harrastat liikuntaa koirasi kanssa päivässä ,"1 =  alle 30 minuuttia ; 2 =  30 minuuttia - 1 tunti ; 3 =  1-2 tuntia ; 4 =  2-3 tuntia ; 5 =  3 tuntia tai enemmän; 0 = replied 2 or 4 on question ""Does your household have dogs or cats?""",Pop up question for those who answer 1 or 3 in the first pet question,
,Onko lemmikilläsi/jollakin lemmikeistäsi jokin vakava krooninen sairaus (esimerkiksi epilepsia tai munuaisten vajaatoiminta) ,"1 =  ei ; 2 =  kyllä ; 3 =  en osaa sanoa; 0 = replied 4 on question ""Does your household have dogs or cats?""",Pop up question for those who answer 1-3 in the first pet question,
,Koetko että lemmikilläsi/jollakin lemmikeistäsi esiintyy ongelmallista käyttäytymistä (esimerkiksi eroahdistusta tai arkuutta) ,"1 =  ei ongelmallista käyttäytymistä ; 2 =  lievää ongelmallista käyttäytymistä ; 3 =  kohtalaista ongelmallista käyttäytymistä ; 4 =  vakavaa ongelmallista käyttäytymistä; 0 = replied 4 on question ""Does your household have dogs or cats?""",Pop up question for those who answer 1-3 in the first pet question,
,Voit halutessasi antaa palautetta kysymyksistä,text; -88 = filled in the questionnaire before 26.1.2021 when this question was not included; 0 = filled in the questionnaire after 26.1.2021 but did not give any feedback,Open question,
Sleep,"Kuinka monta tuntia yössä nukut keskimäärin arkisin? Vastaa puolen tunnin tarkkuudella, esim. 1 tai 1,5",,Open question,"Our own question, a new format as open question"
,"Kuinka monta tuntia yössä nukut keskimäärin viikonloppuisin? Vastaa puolen tunnin tarkkuudella, esim. 1 tai 1,5",,Open question,"Our own question, a new format as open question"
